tip,mood
Take three deep breaths and remind yourself that this feeling will pass,anxious
Take three deep breaths and remind yourself that this feeling will pass,anxious
Take three deep breaths and remind yourself that this feeling will pass,anxious
"Break your worries down into smaller, manageable pieces",anxious
"Break your worries down into smaller, manageable pieces",anxious
"Break your worries down into smaller, manageable pieces",anxious
Practice the 5-4-3-2-1 grounding technique to center yourself,anxious
Practice the 5-4-3-2-1 grounding technique to center yourself,anxious
Practice the 5-4-3-2-1 grounding technique to center yourself,anxious
"Remember that anxiety is temporary, but your strength is permanent",anxious
"Remember that anxiety is temporary, but your strength is permanent",anxious
"Remember that anxiety is temporary, but your strength is permanent",anxious
Focus on what you can control and let go of what you cannot,anxious
Focus on what you can control and let go of what you cannot,anxious
Focus on what you can control and let go of what you cannot,anxious
Your worries are not predictions of the future,anxious
Your worries are not predictions of the future,anxious
Your worries are not predictions of the future,anxious
"Take one step at a time, you don't need to solve everything at once",anxious
"Take one step at a time, you don't need to solve everything at once",anxious
"Take one step at a time, you don't need to solve everything at once",anxious
"Breathe in calm, breathe out tension",anxious
"Breathe in calm, breathe out tension",anxious
"Breathe in calm, breathe out tension",anxious
"You have survived difficult times before, you can do it again",anxious
"You have survived difficult times before, you can do it again",anxious
"You have survived difficult times before, you can do it again",anxious
"Ground yourself in the present moment, not future fears",anxious
"Ground yourself in the present moment, not future fears",anxious
"Ground yourself in the present moment, not future fears",anxious
Savor this beautiful moment and let joy fill your heart,happy
Savor this beautiful moment and let joy fill your heart,happy
Savor this beautiful moment and let joy fill your heart,happy
Share your happiness with someone you love,happy
Share your happiness with someone you love,happy
Share your happiness with someone you love,happy
Take a moment to appreciate all the good in your life,happy
Take a moment to appreciate all the good in your life,happy
Take a moment to appreciate all the good in your life,happy
Let this positive energy inspire you to spread kindness,happy
Let this positive energy inspire you to spread kindness,happy
Let this positive energy inspire you to spread kindness,happy
Document this happy moment to revisit when you need a boost,happy
Document this happy moment to revisit when you need a boost,happy
Document this happy moment to revisit when you need a boost,happy
