features,emotion
"[5.993428306022466, 4.72347139765763, 6.295377076201385, 8.046059712816051, 4.531693250553328, 4.531726086101639, 8.158425631014783, 6.534869458305818, 4.061051228130096, 6.085120087171929, 4.0731646143750755, 4.068540492859486, 5.483924543132068, 0.4086719755342202, 0.42750821674869666, 0.5437712470759027, 0.4987168879665576, 0.6314247332595274, 0.5091975924478789, 0.45876962986647085, 0.7465648768921553, 0.5774223699513464, 0.6067528204687923, 0.4575251813786543, 0.5455617275474817, 2022.1845179419731, 42.45032112888486, 2512.7094055037014, 104.95209825608963, 1541.6612500413446, 55.931735510824126, 0.1926139092254469]",happy
"[4.973005550524132, 2.8845781420881993, 6.645089824206378, 2.5583127000579555, 5.4177271900095105, 1.0806597522404489, 2.343627902203139, 5.393722471738247, 6.476933159990821, 5.342736562379941, 4.768703435223519, 4.3977926088214225, 2.0429560192651453, 0.5280155791605291, 0.5539361229040212, 0.7057122226218916, 0.6343618289568461, 0.4236959844637266, 0.6324083969394795, 0.5614917719583683, 0.5323077999694041, 0.6611676288840868, 0.7030999522495951, 0.6931280119116199, 0.5160782476777361, 1938.157524829757, 116.5631715701782, 2692.6635381367078, 114.06193216160325, 1562.8682046672366, 35.74660103975887, 0.040189668795966464]",happy
"[6.625051644788396, 7.712480057141645, 4.855979756839332, 7.007065795784048, 5.723272050095268, 3.7097604907897512, 5.722791211016828, 8.076073132931938, 4.928347921780097, 8.129287311628012, -0.23949020817948874, 6.643805008750448, 5.174094136476342, 0.5700992649534132, 0.6091760776535502, 0.4012431085399107, 0.5780328112162488, 0.6357112571511746, 0.7477894044741515, 0.5481729781726352, 0.5191506397106812, 0.5498242956415463, 0.6915402117702074, 0.6328751109659684, 0.5470239796232961, 2102.653486622671, 104.85387746740201, 2690.5934971598667, 97.34601795919858, 1534.4675706804464, 64.3156738747137, 0.026824252593394077]",happy
"[5.592240554129152, 5.522110544359778, 5.010226913284922, 4.530825733249706, 2.1692585158991715, 4.158709354469282, 4.314570966946461, 3.395445461556762, 4.677428576667982, 5.8081017136290765, 8.77237180242106, 5.349155625663678, 5.515100781445529, 0.5925554084233833, 0.4081228784700958, 0.5973486124550783, 0.6060230209941027, 0.8463242112485286, 0.5807639035218877, 0.6301547342333612, 0.5965288230294756, 0.48313219623804676, 0.7142822814515021, 0.6751933032686774, 0.6791031947043047, 1818.1225090410521, 170.13971554680495, 1979.4446811623156, 194.01428203502027, 2038.0911251619957, 40.378546994772464, 0.07168511351986141]",happy
"[5.199302730175282, 3.9930486917676014, 1.8986731378677346, 5.137125949612055, 2.8753925725477902, 5.9471848612703635, 3.1611515315323935, 8.09986881003508, 3.4334934153275256, 4.355876967588649, 6.62703443473934, 2.5382713671320896, 5.4549198692082586, 0.7307142754282427, 0.4392516765438772, 0.6184633858532304, 0.6259882794248424, 0.678182287177731, 0.4763049289121918, 0.4679543386915723, 0.6521941565616898, 0.6296984673233186, 0.6250492850345877, 0.6346448209496975, 0.5319975278421509, 2046.4507394322006, 114.65362366493406, 2185.69457459209, 289.9330883358567, 1694.7665841823575, 32.34786011189406, 0.1328276804316915]",happy
"[3.050636659545357, 6.574169207484904, 7.317191158014808, 3.358635363296579, 6.926752258488643, 5.825561853872997, 6.64412031998898, 8.793585965307894, 4.509223767994259, 3.492527671285021, 3.2209711407489534, 3.3683794300691234, 4.845796581171792, 0.6341151974816643, 0.6276690799330019, 0.6827183249036024, 0.6013001891877907, 0.7453534077157317, 0.5735343166762044, 0.8720169166589619, 0.6625667347765006, 0.5142842443583717, 0.49291075019388875, 0.6482472415243186, 0.5776537214674149, 2142.8000988184185, 123.66188122867725, 2378.151326202938, 86.49047114486962, 1297.030555062827, 62.139401917319155, 0.14281993971617363]",happy
"[5.4281874882604075, 2.508522442576024, 5.346361851702364, 5.770634759457674, 3.2322851275977342, 5.307450211891056, 5.116417436892, 2.714059404338754, 5.715574720696567, 6.121569052736469, 7.166102486350554, 7.1076041040698055, 2.244661264085818, 0.5062174960084878, 0.651503526720866, 0.6513785950912209, 0.6515047686306048, 0.9852731490654721, 0.6570890510693167, 0.7135565640180599, 0.6954001763493203, 0.6651391251305798, 0.5684730755359654, 0.6758969220493267, 0.5227174785462427, 1952.6362786519983, 75.73182260854483, 2424.562241815897, 323.59939250051315, 1226.5469614816504, 107.45040761498053, 0.019364206440517423]",happy
"[4.056136268421133, 7.177901193934732, 5.128560038190925, 2.8445104441413878, 3.5693925814800638, 6.359195497869352, 3.5392667365657267, 5.43291717916395, 5.091143679807628, 3.6967993047883656, 9.28788817865065, 6.267838044636022, 0.9497148266847857, 0.6186454314769427, 0.5338213535231612, 0.6852433334796224, 0.5207479261567299, 0.58852635585331, 0.6504987278980456, 0.6865755194170121, 0.47997035929442233, 0.5665498764159052, 0.5525054688839044, 0.5346670767426288, 0.7765454240281097, 2080.996342192191, 36.95580228324774, 2675.3585841164327, 309.16171477594753, 1806.4930521102294, 19.225201361839467, 0.07578829635668743]",happy
"[7.533822298373245, 3.5846610687624385, 5.887638856292456, 6.5492681068586736, 3.1461390568438343, 4.8809492878764, -1.4825346801381452, 2.9512247173314203, 4.494863697213679, 2.504433636070301, 8.26482260786327, 2.1397172440787346, 4.119911026606032, 0.6130740577286091, 0.7441273289066115, 0.45641378488205603, 0.716316375215496, 0.6010233061019586, 0.5018491348952049, 0.6462103474263271, 0.619905969557347, 0.5399783122841205, 0.6069802084990019, 0.5614686403138239, 0.6113517345251248, 2132.4261349042094, 179.3008408072676, 2028.6553503519453, 309.97750309922003, 1209.5824400954996, 73.92859619857667, 0.12941586032422883]",happy
"[5.561983735470065, 3.7546009603588124, 4.5837554992854495, 4.013998130682334, 3.821270486111577, 6.699204194042049, 5.714030971930095, 3.6141808094786914, 6.799199750866501, 5.614599041753219, 6.62572423767792, 6.259257683847224, 3.3420099781558554, 0.543981895980303, 0.6747293605123261, 0.6610370265433465, 0.5979098406035852, 0.6117327383308782, 0.7277664895788425, 0.540842861116417, 0.6547097381170037, 0.5797807347566106, 0.578231879677278, 0.709877685198719, 0.6825416348988029, 2162.7019272001276, 165.27394035771647, 2406.301152489828, 201.14647284712228, 1537.9466486813087, 92.96665409953769, 0.09349284728161578]",happy
